Date,Open,High,Low,Close,Volume,MACD,MACD_signal,MACD_hist,RSI,signal
2021-04-09,126.42465924809835,129.58039616425768,126.10323884700867,129.54144287109375,106686700,1.543737282707042,0.2887185657559396,1.2550187169511022,69.60857833802527,
2021-04-12,129.07386893551856,129.395289186928,127.23301830434795,127.82715606689453,91420000,1.8350025403449166,0.597975360673735,1.2370271796711816,64.43766965371123,
2021-04-13,128.99599269074992,131.15826433043802,128.49924537282473,130.93423461914062,91266500,2.2901482245384415,0.9364099334466764,1.353738291091765,68.94110144200941,
2021-04-14,131.43096458655666,131.4894019428346,128.2362603060902,128.5966339111328,87222800,2.434170020637737,1.2359619508848887,1.198208069752848,62.52582214751698,
2021-04-15,130.34008581919048,131.48939338315375,130.1647588997771,131.0023956298828,89347100,2.7111803966199375,1.5310056400318985,1.180174756588039,66.02936898771132,
2021-04-16,130.80763872455088,131.1680124141945,129.81415884861858,130.67127990722656,84922400,2.8709008854354465,1.7989846891126082,1.0719161963228383,65.12686759341283,
2021-04-19,130.03812614844625,131.94716375459052,129.87254870669761,131.3335418701172,94264200,3.016151215473812,2.042417994384849,0.9737332210889629,66.12418897110798,
2021-04-20,131.5088638445784,132.00559615119002,128.3823320528723,129.64852905273438,94812300,2.9611622610918573,2.226166847726251,0.7349954133656063,61.319135005660435,
2021-04-21,128.9180574819885,130.27191076385841,127.88562452974153,130.02841186523438,68847100,2.914638350124889,2.3638611482059786,0.5507772019189106,61.98974468455116,
2021-04-22,129.58032755811567,130.6614629304673,127.99272533279819,128.50894165039062,84566500,2.7237614414865874,2.4358412068621007,0.2879202346244867,57.68208099027404,
2021-04-23,128.72320843951059,131.60622589179013,128.72320843951059,130.82704162597656,78657500,2.7280936456886593,2.4942916946274125,0.2338019510612468,62.0183877051046,
2021-04-26,131.32383017529745,131.5478450047434,130.08685158645528,131.21669006347656,66905100,2.731481502733729,2.541729656248676,0.18975184648505294,62.71007947427863,
2021-04-27,131.49913616765673,131.88874331170373,130.62254610203854,130.895263671875,66015800,2.6773669606015744,2.568857117119256,0.1085098434823184,61.711690147425955,
2021-04-28,130.81733580986761,131.5088791677975,129.61932548257246,130.1063232421875,107760100,2.5415228040203885,2.5633902544994824,-0.021867450479093886,59.21953577842544,SELL
2021-04-29,132.92116293750138,133.5055661641117,129.0056969879915,130.0089111328125,151101000,2.3983582076146632,2.5303838451225187,-0.13202563750785545,58.90323514187298,
2021-04-30,128.35315956120257,130.0868708182536,127.66163089702832,128.04148864746094,109839500,2.101915112367152,2.4446900985714453,-0.34277498620429325,52.77250571909288,
2021-05-03,128.6063555356659,130.58358001612103,128.40182480933737,129.09335327148438,75135100,1.9296151061851674,2.3416751000941898,-0.41205999390902237,55.44267626392813,
2021-05-04,127.77848641989287,128.070688075214,123.40524078183631,124.52533721923828,137564700,1.4082321671889417,2.15498651351314,-0.7467543463241983,43.84825940905394,
2021-05-05,125.84022317213565,127.05771762012843,124.64221279666873,124.76883697509766,84000900,1.0031175126913325,1.9246127133487787,-0.9214952006574462,44.51436166349068,
2021-05-06,124.56429033642047,126.37592265450229,123.82405163749547,126.3661880493164,78128300,0.8017124700717204,1.7000326646933672,-0.8983201946216468,48.804725176773275,
2021-05-07,127.6638289569363,128.0638342068742,126.32717811895671,127.03941345214844,78973300,0.6884847626034087,1.4977230842753755,-0.8092383216719667,50.54055653260326,
