Date,Open,High,Low,Close,Volume,MACD,MACD_signal,MACD_hist,RSI,signal
2021-04-13,707.9282147701846,728.916366789356,707.9282147701846,725.3851928710938,437329,-30.693861541233787,-28.748735063138042,-1.9451264780957445,37.33629986731168,
2021-04-15,723.1471235954945,742.0464294391181,711.0117677009353,736.1776733398438,871200,-28.605949262989384,-28.72017790310831,0.11422864011892742,40.90320246834444,
2021-04-16,736.1776886054331,751.7944959002839,727.1259399036209,739.7089233398438,692021,-26.362431674473328,-28.248628657381317,1.8861969829079896,42.06520366934215,
2021-04-19,716.1842093139319,735.630587855049,688.5315533744259,724.7883911132812,715142,-25.494505289299354,-27.697803983764928,2.2032986944655732,38.610662179261894,
2021-04-20,724.7883679745094,743.6378893124171,723.9428363273835,732.5967407226562,475888,-23.901082023935942,-26.938459591799134,3.0373775678631922,41.3262920095585,
2021-04-22,727.9216648266994,746.0252223650967,721.1577149529268,743.4390258789062,422465,-21.51538484317905,-25.85384464207512,4.338459798896071,44.96669510000733,
2021-04-23,743.0411458413807,783.7741364605655,738.0676441958561,766.2176513671875,3507205,-17.583960974937668,-24.199867908647633,6.615906933709965,51.74114896555289,
2021-04-26,776.761490831623,782.829138394734,757.8124014917262,776.3635864257812,824311,-13.494036219077998,-22.05870157073371,8.564665351655712,54.4318142805266,
2021-04-27,781.8343324383015,790.2892838705224,772.3349579714953,780.0438842773438,853518,-9.842316012293054,-19.61542445904558,9.773108446752527,55.403134897964385,
2021-04-28,785.8131520145001,787.802552399347,758.707571770962,767.8588256835938,593276,-7.841145982976741,-17.260568763831813,9.419422780855072,51.48976318793101,
2021-04-29,774.8715505125034,784.818553728325,764.526642883373,771.7382202148438,589571,-5.87445256739602,-14.983345524544655,9.108892957148635,52.6368037481466,
2021-04-30,772.4841727494124,786.5094823906651,756.9171506088417,772.5836791992188,1841225,-4.199206552818168,-12.826517730199358,8.62731117738119,52.89819808832742,
2021-05-03,753.982795108551,782.8291025731263,732.1988351868356,778.9000244140625,841965,-2.334969668955523,-10.728208117950592,8.393238448995069,54.90074431194345,
2021-05-04,793.7707619125218,793.7707619125218,768.9032568400744,772.68310546875,651087,-1.3437124288720952,-8.851308980134894,7.5075965512627985,52.53333145832656,
2021-05-05,783.4756701145361,805.7071962447641,771.4894836257447,791.8311157226562,1229552,0.9757031775319547,-6.8859065486015245,7.861609726133479,58.47296704881657,
2021-05-06,792.7760758509743,795.7601765128976,759.7520163833524,774.0260009765625,665468,1.361438978558681,-5.236437443169484,6.597876421728165,51.961770591303434,
2021-05-07,781.6852381312245,781.6852381312245,739.4602572553204,748.7606811523438,513294,-0.3673284451165273,-4.262615643558893,3.8952871984423654,44.40550539355928,
2021-05-10,750.7997955816151,761.9404513997722,742.0464448358094,743.7871704101562,434021,-2.1143370733543634,-3.8329599295179873,1.7186228561636239,43.077509355315435,
2021-05-11,738.0675558083403,770.8926627378219,738.0675558083403,759.1552124023438,823028,-2.2330403459775425,-3.512976012809898,1.2799356668323556,48.2295800288387,
2021-05-12,754.579623307626,771.8874328125835,751.0484493849061,766.0186767578125,414426,-1.753080906189325,-3.160996991485784,1.407916085296459,50.389230212906014,
2021-05-14,765.9192356179885,778.8503395959546,754.2812298954814,768.5054321289062,541416,-1.1586925302430018,-2.760536099237228,1.601843568994226,51.18381442081734,
2021-05-17,768.5551578849962,809.636265289276,756.568971530256,790.9359130859375,1956412,1.1095269577999716,-1.9865234878297882,3.0960504456297597,57.75612288970409,
2021-05-18,795.7601529806459,828.4858135566476,795.0141278372266,823.91015625,2275063,5.504401772541655,-0.4883384357554996,5.992740208297155,65.17821107101359,
